field,chinese_term,storage_table,source_endpoint,tushare_type,source_doc_id,unit_category,stored_unit,required_for_health_check,official_doc_path
adj_lossgain,调整以前年度损益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
admin_exp,减:管理费用,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
amodcost_fin_assets,以摊余成本计量的金融资产终止确认收益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
ass_invest_income,其中:对联营企业和合营企业的投资收益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
asset_disp_income,资产处置收益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
assets_impair_loss,减:资产减值损失,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
basic_eps,基本每股收益,raw_tushare,income,float,33,price,元/股（原值）,N,.refs/tushare-docs/33.md
biz_tax_surchg,减:营业税金及附加,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
capit_comstock_div,转作股本的普通股股利,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
comm_exp,减:手续费及佣金支出,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
comm_income,手续费及佣金收入,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
compens_payout,赔付总支出,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
compens_payout_refu,减:摊回赔付支出,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
compr_inc_attr_m_s,归属于少数股东的综合收益总额,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
compr_inc_attr_p,归属于母公司(或股东)的综合收益总额,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
comshare_payable_dvd,应付普通股股利,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
continued_net_profit,持续经营净利润,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
credit_impa_loss,信用减值损失,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
diluted_eps,稀释每股收益,raw_tushare,income,float,33,price,元/股（原值）,N,.refs/tushare-docs/33.md
distable_profit,可分配利润,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
distr_profit_shrhder,可供股东分配的利润,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
div_payt,保户红利支出,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
ebit,息税前利润,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
ebitda,息税折旧摊销前利润,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
end_net_profit,终止经营净利润,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
fin_exp,减:财务费用,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
fin_exp_int_exp,财务费用:利息费用,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
fin_exp_int_inc,财务费用:利息收入,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
forex_gain,加:汇兑净收益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
fv_value_chg_gain,加:公允价值变动净收益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
income_tax,所得税费用,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
insur_reser_refu,减:摊回保险责任准备金,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
insurance_exp,保险业务支出,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
int_exp,减:利息支出,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
int_income,利息收入,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
invest_income,加:投资净收益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
minority_gain,少数股东损益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
n_asset_mg_income,受托客户资产管理业务净收入,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
n_commis_income,手续费及佣金净收入,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
n_income,净利润(含少数股东损益),raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
n_income_attr_p,净利润(不含少数股东损益),raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",Y,.refs/tushare-docs/33.md
n_oth_b_income,加:其他业务净收益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
n_oth_income,其他经营净收益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
n_sec_tb_income,代理买卖证券业务净收入,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
n_sec_uw_income,证券承销业务净收入,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
nca_disploss,其中:减:非流动资产处置净损失,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
net_after_nr_lp_correct,扣除非经常性损益后的净利润（更正前）,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
net_expo_hedging_benefits,净敞口套期收益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
non_oper_exp,减:营业外支出,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
non_oper_income,加:营业外收入,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
oper_cost,减:营业成本,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
oper_exp,营业支出,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
operate_profit,营业利润,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
oth_b_income,其他业务收入,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
oth_compr_income,其他综合收益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
oth_impair_loss_assets,其他资产减值损失,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
oth_income,其他收益,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
other_bus_cost,其他业务成本,raw_tushare,income,float,33,amount_cny,"百万元（元÷1,000,000）",N,.refs/tushare-docs/33.md
